Register Output,Fraction,Guess for r,guess1,guess2
1001010111000110(bin) = 38342(dec),31/53,53,1,5
1001010111000111(bin) = 38343(dec),31/53,53,1,5
1001010111001000(bin) = 38344(dec),31/53,53,1,5
1001010111001001(bin) = 38345(dec),31/53,53,1,5
1001010111001010(bin) = 38346(dec),31/53,53,1,5
1001010111001011(bin) = 38347(dec),31/53,53,1,5
1001010111110111(bin) = 38391(dec),17/29,29,1,5
1001010111111000(bin) = 38392(dec),17/29,29,1,5
1001010111111001(bin) = 38393(dec),17/29,29,1,5
1001010111111010(bin) = 38394(dec),17/29,29,1,5
1001010111111011(bin) = 38395(dec),17/29,29,1,5
1001010111111100(bin) = 38396(dec),17/29,29,1,5
1001010111111101(bin) = 38397(dec),17/29,29,1,5
1001010111111110(bin) = 38398(dec),17/29,29,1,5
1001010111111111(bin) = 38399(dec),17/29,29,1,5
1001011000000000(bin) = 38400(dec),17/29,29,1,5
1001011000000001(bin) = 38401(dec),17/29,29,1,5
1001011000000010(bin) = 38402(dec),17/29,29,1,5
1001011000000011(bin) = 38403(dec),17/29,29,1,5
1001011000000100(bin) = 38404(dec),17/29,29,1,5
1001011000000101(bin) = 38405(dec),17/29,29,1,5
1001011000000110(bin) = 38406(dec),17/29,29,1,5
1001011000000111(bin) = 38407(dec),17/29,29,1,5
1001011000001000(bin) = 38408(dec),17/29,29,1,5
1001011000001001(bin) = 38409(dec),17/29,29,1,5
1001011000001010(bin) = 38410(dec),17/29,29,1,5
1001011000001011(bin) = 38411(dec),17/29,29,1,5
1001011000001100(bin) = 38412(dec),17/29,29,1,5
1001011000001101(bin) = 38413(dec),17/29,29,1,5
1001011000001110(bin) = 38414(dec),17/29,29,1,5
1001011000001111(bin) = 38415(dec),17/29,29,1,5
1001011000010000(bin) = 38416(dec),17/29,29,1,5
1001011000010001(bin) = 38417(dec),17/29,29,1,5
1001011000010010(bin) = 38418(dec),17/29,29,1,5
1001011000010011(bin) = 38419(dec),17/29,29,1,5
1001011000010100(bin) = 38420(dec),17/29,29,1,5
1001011000010101(bin) = 38421(dec),17/29,29,1,5
1001011000010110(bin) = 38422(dec),17/29,29,1,5
1001011000010111(bin) = 38423(dec),17/29,29,1,5
1001011000011000(bin) = 38424(dec),17/29,29,1,5
1001011000011001(bin) = 38425(dec),17/29,29,1,5
1001011000011010(bin) = 38426(dec),17/29,29,1,5
1001011000011011(bin) = 38427(dec),17/29,29,1,5
1001011000011100(bin) = 38428(dec),17/29,29,1,5
1001011000011101(bin) = 38429(dec),17/29,29,1,5
1001011000011110(bin) = 38430(dec),17/29,29,1,5
1001011000011111(bin) = 38431(dec),17/29,29,1,5
1001011000100000(bin) = 38432(dec),17/29,29,1,5
1001011000100001(bin) = 38433(dec),17/29,29,1,5
1001011000100010(bin) = 38434(dec),17/29,29,1,5
1001011000100011(bin) = 38435(dec),17/29,29,1,5
1001011000100100(bin) = 38436(dec),17/29,29,1,5
1001011000100101(bin) = 38437(dec),17/29,29,1,5
1001011000100110(bin) = 38438(dec),17/29,29,1,5
1001011000100111(bin) = 38439(dec),17/29,29,1,5
1001011000101000(bin) = 38440(dec),17/29,29,1,5
1001011000101001(bin) = 38441(dec),17/29,29,1,5
1001011000101010(bin) = 38442(dec),17/29,29,1,5
1001011001101101(bin) = 38509(dec),10/17,17,5,1
1001011001101110(bin) = 38510(dec),10/17,17,5,1
1001011001101111(bin) = 38511(dec),10/17,17,5,1
1001011001110000(bin) = 38512(dec),10/17,17,5,1
1001011001110001(bin) = 38513(dec),10/17,17,5,1
1001011001110010(bin) = 38514(dec),10/17,17,5,1
1001011001110011(bin) = 38515(dec),10/17,17,5,1
1001011001110100(bin) = 38516(dec),10/17,17,5,1
1001011001110101(bin) = 38517(dec),10/17,17,5,1
1001011001110110(bin) = 38518(dec),10/17,17,5,1
1001011001110111(bin) = 38519(dec),10/17,17,5,1
1001011001111000(bin) = 38520(dec),10/17,17,5,1
1001011001111001(bin) = 38521(dec),10/17,17,5,1
1001011001111010(bin) = 38522(dec),10/17,17,5,1
1001011001111011(bin) = 38523(dec),10/17,17,5,1
1001011001111100(bin) = 38524(dec),10/17,17,5,1
1001011001111101(bin) = 38525(dec),10/17,17,5,1
1001011001111110(bin) = 38526(dec),10/17,17,5,1
1001011001111111(bin) = 38527(dec),10/17,17,5,1
1001011010000000(bin) = 38528(dec),10/17,17,5,1
1001011010000001(bin) = 38529(dec),10/17,17,5,1
1001011010000010(bin) = 38530(dec),10/17,17,5,1
1001011010000011(bin) = 38531(dec),10/17,17,5,1
1001011010000100(bin) = 38532(dec),10/17,17,5,1
1001011010000101(bin) = 38533(dec),10/17,17,5,1
1001011010000110(bin) = 38534(dec),10/17,17,5,1
1001011010000111(bin) = 38535(dec),10/17,17,5,1
1001011010001000(bin) = 38536(dec),10/17,17,5,1
1001011010001001(bin) = 38537(dec),10/17,17,5,1
1001011010001010(bin) = 38538(dec),10/17,17,5,1
1001011010001011(bin) = 38539(dec),10/17,17,5,1
1001011010001100(bin) = 38540(dec),10/17,17,5,1
1001011010001101(bin) = 38541(dec),10/17,17,5,1
1001011010001110(bin) = 38542(dec),10/17,17,5,1
1001011010001111(bin) = 38543(dec),10/17,17,5,1
1001011010010000(bin) = 38544(dec),10/17,17,5,1
1001011010010001(bin) = 38545(dec),10/17,17,5,1
1001011010010010(bin) = 38546(dec),10/17,17,5,1
1001011010010011(bin) = 38547(dec),10/17,17,5,1
1001011010010100(bin) = 38548(dec),10/17,17,5,1
1001011010010101(bin) = 38549(dec),10/17,17,5,1
1001011010010110(bin) = 38550(dec),10/17,17,5,1
1001011010010111(bin) = 38551(dec),10/17,17,5,1
1001011010011000(bin) = 38552(dec),10/17,17,5,1
1001011010011001(bin) = 38553(dec),10/17,17,5,1
1001011010011010(bin) = 38554(dec),10/17,17,5,1
1001011010011011(bin) = 38555(dec),10/17,17,5,1
1001011010011100(bin) = 38556(dec),10/17,17,5,1
1001011010011101(bin) = 38557(dec),10/17,17,5,1
1001011010011110(bin) = 38558(dec),10/17,17,5,1
1001011010011111(bin) = 38559(dec),10/17,17,5,1
1001011010100000(bin) = 38560(dec),10/17,17,5,1
1001011010100001(bin) = 38561(dec),10/17,17,5,1
1001011010100010(bin) = 38562(dec),10/17,17,5,1
1001011010100011(bin) = 38563(dec),10/17,17,5,1
1001011010100100(bin) = 38564(dec),10/17,17,5,1
1001011010100101(bin) = 38565(dec),10/17,17,5,1
1001011010100110(bin) = 38566(dec),10/17,17,5,1
1001011010100111(bin) = 38567(dec),10/17,17,5,1
1001011010101000(bin) = 38568(dec),10/17,17,5,1
1001011010101001(bin) = 38569(dec),10/17,17,5,1
1001011010101010(bin) = 38570(dec),10/17,17,5,1
1001011010101011(bin) = 38571(dec),10/17,17,5,1
1001011010101100(bin) = 38572(dec),10/17,17,5,1
1001011010101101(bin) = 38573(dec),10/17,17,5,1
1001011010101110(bin) = 38574(dec),10/17,17,5,1
1001011010101111(bin) = 38575(dec),10/17,17,5,1
1001011010110000(bin) = 38576(dec),10/17,17,5,1
1001011010110001(bin) = 38577(dec),10/17,17,5,1
1001011010110010(bin) = 38578(dec),10/17,17,5,1
1001011010110011(bin) = 38579(dec),10/17,17,5,1
1001011010110100(bin) = 38580(dec),10/17,17,5,1
1001011010110101(bin) = 38581(dec),10/17,17,5,1
1001011010110110(bin) = 38582(dec),10/17,17,5,1
1001011010110111(bin) = 38583(dec),10/17,17,5,1
1001011010111000(bin) = 38584(dec),10/17,17,5,1
1001011010111001(bin) = 38585(dec),10/17,17,5,1
1001011010111010(bin) = 38586(dec),10/17,17,5,1
1001011010111011(bin) = 38587(dec),10/17,17,5,1
1001011010111100(bin) = 38588(dec),10/17,17,5,1
1001011010111101(bin) = 38589(dec),10/17,17,5,1
1001011010111110(bin) = 38590(dec),10/17,17,5,1
1001011010111111(bin) = 38591(dec),10/17,17,5,1
1001011011000000(bin) = 38592(dec),10/17,17,5,1
1001011011000001(bin) = 38593(dec),10/17,17,5,1
1001011011000010(bin) = 38594(dec),10/17,17,5,1
1001011011000011(bin) = 38595(dec),10/17,17,5,1
1001011011000100(bin) = 38596(dec),10/17,17,5,1
1001011011000101(bin) = 38597(dec),10/17,17,5,1
1001011011000110(bin) = 38598(dec),10/17,17,5,1
1001011011000111(bin) = 38599(dec),10/17,17,5,1
1001011011001000(bin) = 38600(dec),10/17,17,5,1
1001011101100101(bin) = 38757(dec),29/49,49,5,1
1001011101100110(bin) = 38758(dec),29/49,49,5,1
1001011101100111(bin) = 38759(dec),29/49,49,5,1
1001011101101000(bin) = 38760(dec),29/49,49,5,1
1001011101101001(bin) = 38761(dec),29/49,49,5,1
1001011101101010(bin) = 38762(dec),29/49,49,5,1
1001011101101011(bin) = 38763(dec),29/49,49,5,1
1001011101101100(bin) = 38764(dec),29/49,49,5,1
1001011101101101(bin) = 38765(dec),29/49,49,5,1
1001011101101110(bin) = 38766(dec),29/49,49,5,1
1001011101101111(bin) = 38767(dec),29/49,49,5,1
1001011101110000(bin) = 38768(dec),29/49,49,5,1
1001011101110001(bin) = 38769(dec),29/49,49,5,1
1001011101110010(bin) = 38770(dec),29/49,49,5,1
1001011101110011(bin) = 38771(dec),29/49,49,5,1
1001011101110100(bin) = 38772(dec),29/49,49,5,1
1001011101110101(bin) = 38773(dec),29/49,49,5,1
1001011101110110(bin) = 38774(dec),29/49,49,5,1
1001011101110111(bin) = 38775(dec),29/49,49,5,1
1001011101111000(bin) = 38776(dec),29/49,49,5,1
1001011101111001(bin) = 38777(dec),29/49,49,5,1
1001011101111010(bin) = 38778(dec),29/49,49,5,1
1001011101111011(bin) = 38779(dec),29/49,49,5,1
1001011101111100(bin) = 38780(dec),29/49,49,5,1
1001011101111101(bin) = 38781(dec),29/49,49,5,1
1001011101111110(bin) = 38782(dec),29/49,49,5,1
1001011101111111(bin) = 38783(dec),29/49,49,5,1
1001011110000000(bin) = 38784(dec),29/49,49,5,1
1001011110000001(bin) = 38785(dec),29/49,49,5,1
1001011110000010(bin) = 38786(dec),29/49,49,5,1
1001011110000011(bin) = 38787(dec),29/49,49,5,1
1001011110000100(bin) = 38788(dec),29/49,49,5,1
1001011110000101(bin) = 38789(dec),29/49,49,5,1
1001011110000110(bin) = 38790(dec),29/49,49,5,1
1001011110000111(bin) = 38791(dec),29/49,49,5,1
1001011110001000(bin) = 38792(dec),29/49,49,5,1
1001011110001001(bin) = 38793(dec),29/49,49,5,1
1001011110001010(bin) = 38794(dec),29/49,49,5,1
1001011110001011(bin) = 38795(dec),29/49,49,5,1
1001011110001100(bin) = 38796(dec),29/49,49,5,1
1001011110001101(bin) = 38797(dec),29/49,49,5,1
1001011110001110(bin) = 38798(dec),29/49,49,5,1
1001011110001111(bin) = 38799(dec),29/49,49,5,1
1001011110010000(bin) = 38800(dec),29/49,49,5,1
1001011110010001(bin) = 38801(dec),29/49,49,5,1
1001011110010010(bin) = 38802(dec),29/49,49,5,1
1001011110010011(bin) = 38803(dec),29/49,49,5,1
1001011110010100(bin) = 38804(dec),29/49,49,5,1
1001011110010101(bin) = 38805(dec),29/49,49,5,1
1001011110010110(bin) = 38806(dec),29/49,49,5,1
1001011110010111(bin) = 38807(dec),29/49,49,5,1
1001011110011000(bin) = 38808(dec),29/49,49,5,1
1001011110011001(bin) = 38809(dec),29/49,49,5,1
1001011110011010(bin) = 38810(dec),29/49,49,5,1
1001011110011011(bin) = 38811(dec),29/49,49,5,1
1001011111011011(bin) = 38875(dec),19/32,32,5,1
1001011111011100(bin) = 38876(dec),19/32,32,5,1
1001011111011101(bin) = 38877(dec),19/32,32,5,1
1001011111011110(bin) = 38878(dec),19/32,32,5,1
1001011111011111(bin) = 38879(dec),19/32,32,5,1
1001011111100000(bin) = 38880(dec),19/32,32,5,1
1001011111100001(bin) = 38881(dec),19/32,32,5,1
1001011111100010(bin) = 38882(dec),19/32,32,5,1
1001011111100011(bin) = 38883(dec),19/32,32,5,1
1001011111100100(bin) = 38884(dec),19/32,32,5,1
1001011111100101(bin) = 38885(dec),19/32,32,5,1
1001011111100110(bin) = 38886(dec),19/32,32,5,1
1001011111100111(bin) = 38887(dec),19/32,32,5,1
1001011111101000(bin) = 38888(dec),19/32,32,5,1
1001011111101001(bin) = 38889(dec),19/32,32,5,1
1001011111101010(bin) = 38890(dec),19/32,32,5,1
1001011111101011(bin) = 38891(dec),19/32,32,5,1
1001011111101100(bin) = 38892(dec),19/32,32,5,1
1001011111101101(bin) = 38893(dec),19/32,32,5,1
1001011111101110(bin) = 38894(dec),19/32,32,5,1
1001011111101111(bin) = 38895(dec),19/32,32,5,1
1001011111110000(bin) = 38896(dec),19/32,32,5,1
1001011111110001(bin) = 38897(dec),19/32,32,5,1
1001011111110010(bin) = 38898(dec),19/32,32,5,1
1001011111110011(bin) = 38899(dec),19/32,32,5,1
1001011111110100(bin) = 38900(dec),19/32,32,5,1
1001011111110101(bin) = 38901(dec),19/32,32,5,1
1001011111110110(bin) = 38902(dec),19/32,32,5,1
1001011111110111(bin) = 38903(dec),19/32,32,5,1
1001011111111000(bin) = 38904(dec),19/32,32,5,1
1001011111111001(bin) = 38905(dec),19/32,32,5,1
1001011111111010(bin) = 38906(dec),19/32,32,5,1
1001011111111011(bin) = 38907(dec),19/32,32,5,1
1001011111111100(bin) = 38908(dec),19/32,32,5,1
1001011111111101(bin) = 38909(dec),19/32,32,5,1
1001011111111110(bin) = 38910(dec),19/32,32,5,1
1001011111111111(bin) = 38911(dec),19/32,32,5,1
1001100000000000(bin) = 38912(dec),19/32,32,5,1
1001100000000001(bin) = 38913(dec),19/32,32,5,1
1001100000000010(bin) = 38914(dec),19/32,32,5,1
1001100000000011(bin) = 38915(dec),19/32,32,5,1
1001100000000100(bin) = 38916(dec),19/32,32,5,1
1001100000000101(bin) = 38917(dec),19/32,32,5,1
1001100000000110(bin) = 38918(dec),19/32,32,5,1
1001100000000111(bin) = 38919(dec),19/32,32,5,1
1001100000001000(bin) = 38920(dec),19/32,32,5,1
1001100000001001(bin) = 38921(dec),19/32,32,5,1
1001100000001010(bin) = 38922(dec),19/32,32,5,1
1001100000001011(bin) = 38923(dec),19/32,32,5,1
1001100000001100(bin) = 38924(dec),19/32,32,5,1
1001100000001101(bin) = 38925(dec),19/32,32,5,1
1001100000001110(bin) = 38926(dec),19/32,32,5,1
1001100000001111(bin) = 38927(dec),19/32,32,5,1
1001100000010000(bin) = 38928(dec),19/32,32,5,1
1001100000010001(bin) = 38929(dec),19/32,32,5,1
1001100000010010(bin) = 38930(dec),19/32,32,5,1
1001100000010011(bin) = 38931(dec),19/32,32,5,1
1001100000010100(bin) = 38932(dec),19/32,32,5,1
1001100000010101(bin) = 38933(dec),19/32,32,5,1
1001100000010110(bin) = 38934(dec),19/32,32,5,1
1001100000010111(bin) = 38935(dec),19/32,32,5,1
1001100000011000(bin) = 38936(dec),19/32,32,5,1
1001100000011001(bin) = 38937(dec),19/32,32,5,1
1001100000011010(bin) = 38938(dec),19/32,32,5,1
1001100000011011(bin) = 38939(dec),19/32,32,5,1
1001100000011100(bin) = 38940(dec),22/37,37,1,5
1001100000011101(bin) = 38941(dec),22/37,37,1,5
1001100000011110(bin) = 38942(dec),22/37,37,1,5
1001100000011111(bin) = 38943(dec),22/37,37,1,5
1001100000100000(bin) = 38944(dec),22/37,37,1,5
1001100000100001(bin) = 38945(dec),22/37,37,1,5
1001100000100010(bin) = 38946(dec),22/37,37,1,5
1001100000100011(bin) = 38947(dec),22/37,37,1,5
1001100000100100(bin) = 38948(dec),22/37,37,1,5
1001100000100101(bin) = 38949(dec),22/37,37,1,5
1001100000100110(bin) = 38950(dec),22/37,37,1,5
1001100000100111(bin) = 38951(dec),22/37,37,1,5
1001100000101000(bin) = 38952(dec),22/37,37,1,5
1001100000101001(bin) = 38953(dec),22/37,37,1,5
1001100000101010(bin) = 38954(dec),22/37,37,1,5
1001100000101011(bin) = 38955(dec),22/37,37,1,5
1001100000101100(bin) = 38956(dec),22/37,37,1,5
1001100000101101(bin) = 38957(dec),22/37,37,1,5
1001100000101110(bin) = 38958(dec),22/37,37,1,5
1001100000101111(bin) = 38959(dec),22/37,37,1,5
1001100000110000(bin) = 38960(dec),22/37,37,1,5
1001100000110001(bin) = 38961(dec),22/37,37,1,5
1001100000110010(bin) = 38962(dec),22/37,37,1,5
1001100000110011(bin) = 38963(dec),22/37,37,1,5
1001100000110100(bin) = 38964(dec),22/37,37,1,5
1001100000110101(bin) = 38965(dec),22/37,37,1,5
1001100000110110(bin) = 38966(dec),22/37,37,1,5
1001100000110111(bin) = 38967(dec),22/37,37,1,5
1001100000111000(bin) = 38968(dec),22/37,37,1,5
1001100000111001(bin) = 38969(dec),22/37,37,1,5
1001100000111010(bin) = 38970(dec),22/37,37,1,5
1001100000111011(bin) = 38971(dec),22/37,37,1,5
1001100000111100(bin) = 38972(dec),22/37,37,1,5
1001100000111101(bin) = 38973(dec),22/37,37,1,5
1001100000111110(bin) = 38974(dec),22/37,37,1,5
1001100000111111(bin) = 38975(dec),22/37,37,1,5
1001100001000000(bin) = 38976(dec),22/37,37,1,5
1001100001000001(bin) = 38977(dec),22/37,37,1,5
1001100001000010(bin) = 38978(dec),22/37,37,1,5
1001100001000011(bin) = 38979(dec),22/37,37,1,5
1001100001000100(bin) = 38980(dec),22/37,37,1,5
1001100001000101(bin) = 38981(dec),22/37,37,1,5
1001100001000110(bin) = 38982(dec),22/37,37,1,5
1001100001000111(bin) = 38983(dec),22/37,37,1,5
1001100001001000(bin) = 38984(dec),22/37,37,1,5
1001100001001001(bin) = 38985(dec),22/37,37,1,5
1001100001001010(bin) = 38986(dec),22/37,37,1,5
1001100001001011(bin) = 38987(dec),22/37,37,1,5
1001100001001100(bin) = 38988(dec),22/37,37,1,5
1001100010010001(bin) = 39057(dec),31/52,52,1,5
1001100010010010(bin) = 39058(dec),31/52,52,1,5
1001100010010011(bin) = 39059(dec),31/52,52,1,5
1001100010010100(bin) = 39060(dec),31/52,52,1,5
1001100010010101(bin) = 39061(dec),31/52,52,1,5
1001100010010110(bin) = 39062(dec),31/52,52,1,5
1001100010010111(bin) = 39063(dec),31/52,52,1,5
1001100010011000(bin) = 39064(dec),31/52,52,1,5
1001100010011001(bin) = 39065(dec),31/52,52,1,5
1001100010011010(bin) = 39066(dec),31/52,52,1,5
1001100010011011(bin) = 39067(dec),31/52,52,1,5
1001100010011100(bin) = 39068(dec),31/52,52,1,5
1001100010011101(bin) = 39069(dec),31/52,52,1,5
1001100010011110(bin) = 39070(dec),31/52,52,1,5
1001100010011111(bin) = 39071(dec),31/52,52,1,5
1001100010100000(bin) = 39072(dec),31/52,52,1,5
1001100010100001(bin) = 39073(dec),31/52,52,1,5
1001100010100010(bin) = 39074(dec),31/52,52,1,5
1001100010100011(bin) = 39075(dec),31/52,52,1,5
1001100010100100(bin) = 39076(dec),31/52,52,1,5
1001100010100101(bin) = 39077(dec),31/52,52,1,5
1001100010100110(bin) = 39078(dec),31/52,52,1,5
1001100010100111(bin) = 39079(dec),31/52,52,1,5
1001100010101000(bin) = 39080(dec),31/52,52,1,5
1001100010101001(bin) = 39081(dec),31/52,52,1,5
1001100010101010(bin) = 39082(dec),31/52,52,1,5
1001100010101011(bin) = 39083(dec),31/52,52,1,5
1001100010101100(bin) = 39084(dec),31/52,52,1,5
1001100010101101(bin) = 39085(dec),31/52,52,1,5
1001100010101110(bin) = 39086(dec),31/52,52,1,5
1001100010101111(bin) = 39087(dec),31/52,52,1,5
1001100010110000(bin) = 39088(dec),31/52,52,1,5
1001100010110001(bin) = 39089(dec),31/52,52,1,5
1001100010110010(bin) = 39090(dec),31/52,52,1,5
1001100010110011(bin) = 39091(dec),31/52,52,1,5
1001100010110100(bin) = 39092(dec),31/52,52,1,5
1001100010110101(bin) = 39093(dec),31/52,52,1,5
1001100010110110(bin) = 39094(dec),31/52,52,1,5
1001100010110111(bin) = 39095(dec),31/52,52,1,5
1001100010111000(bin) = 39096(dec),31/52,52,1,5
1001100010111001(bin) = 39097(dec),31/52,52,1,5
1001100010111010(bin) = 39098(dec),31/52,52,1,5
1001100010111011(bin) = 39099(dec),31/52,52,1,5
1001100010111100(bin) = 39100(dec),31/52,52,1,5
1001100010111101(bin) = 39101(dec),31/52,52,1,5
1001100010111110(bin) = 39102(dec),31/52,52,1,5
1001100010111111(bin) = 39103(dec),31/52,52,1,5
1001100011000000(bin) = 39104(dec),31/52,52,1,5
1001100011000001(bin) = 39105(dec),31/52,52,1,5
1001100011000010(bin) = 39106(dec),31/52,52,1,5
1001100011000011(bin) = 39107(dec),31/52,52,1,5
1001100011000100(bin) = 39108(dec),31/52,52,1,5
1001100011000101(bin) = 39109(dec),31/52,52,1,5
1001100011000110(bin) = 39110(dec),31/52,52,1,5
1001100011000111(bin) = 39111(dec),31/52,52,1,5
1001100011001000(bin) = 39112(dec),31/52,52,1,5
1001100011001001(bin) = 39113(dec),31/52,52,1,5
1001100011001010(bin) = 39114(dec),31/52,52,1,5
1001100011001011(bin) = 39115(dec),31/52,52,1,5
1001100011001100(bin) = 39116(dec),31/52,52,1,5
1001100011001101(bin) = 39117(dec),31/52,52,1,5
1001100011001110(bin) = 39118(dec),31/52,52,1,5
1001100011001111(bin) = 39119(dec),31/52,52,1,5
1001100011010000(bin) = 39120(dec),31/52,52,1,5
1001100011010001(bin) = 39121(dec),31/52,52,1,5
1001100011010010(bin) = 39122(dec),31/52,52,1,5
1001100011010011(bin) = 39123(dec),31/52,52,1,5
1001100011010100(bin) = 39124(dec),31/52,52,1,5
1001100011010101(bin) = 39125(dec),31/52,52,1,5
1001100011010110(bin) = 39126(dec),31/52,52,1,5
1001100011010111(bin) = 39127(dec),31/52,52,1,5
1001100011011000(bin) = 39128(dec),31/52,52,1,5
1001100011011001(bin) = 39129(dec),31/52,52,1,5
1001100011011010(bin) = 39130(dec),31/52,52,1,5
1001100011011011(bin) = 39131(dec),31/52,52,1,5
1001100011011100(bin) = 39132(dec),31/52,52,1,5
1001100011011101(bin) = 39133(dec),31/52,52,1,5
1001100011011110(bin) = 39134(dec),31/52,52,1,5
1001100011011111(bin) = 39135(dec),31/52,52,1,5
1001100011100000(bin) = 39136(dec),31/52,52,1,5
1001100011100001(bin) = 39137(dec),31/52,52,1,5
1001100011100010(bin) = 39138(dec),31/52,52,1,5
1001100011100011(bin) = 39139(dec),31/52,52,1,5
1001100011100100(bin) = 39140(dec),31/52,52,1,5
1001100011100101(bin) = 39141(dec),31/52,52,1,5
1001100011100110(bin) = 39142(dec),31/52,52,1,5
1001100011100111(bin) = 39143(dec),31/52,52,1,5
1001100011101000(bin) = 39144(dec),31/52,52,1,5
1001100011101001(bin) = 39145(dec),31/52,52,1,5
1001100011101010(bin) = 39146(dec),31/52,52,1,5
1001100011101011(bin) = 39147(dec),31/52,52,1,5
1001100011101100(bin) = 39148(dec),31/52,52,1,5
1001100011101101(bin) = 39149(dec),31/52,52,1,5
1001100011101110(bin) = 39150(dec),31/52,52,1,5
1001100011101111(bin) = 39151(dec),31/52,52,1,5
1001100011110000(bin) = 39152(dec),31/52,52,1,5
1001100011110001(bin) = 39153(dec),31/52,52,1,5
1001100011110010(bin) = 39154(dec),31/52,52,1,5
1001100011110011(bin) = 39155(dec),31/52,52,1,5
1001100011110100(bin) = 39156(dec),31/52,52,1,5
1001100011110101(bin) = 39157(dec),31/52,52,1,5
1001100011110110(bin) = 39158(dec),31/52,52,1,5
1001100011110111(bin) = 39159(dec),31/52,52,1,5
1001100011111000(bin) = 39160(dec),31/52,52,1,5
1001100011111001(bin) = 39161(dec),31/52,52,1,5
1001100011111010(bin) = 39162(dec),31/52,52,1,5
1001100011111011(bin) = 39163(dec),31/52,52,1,5
1001100011111100(bin) = 39164(dec),31/52,52,1,5
1001100011111101(bin) = 39165(dec),31/52,52,1,5
1001100011111110(bin) = 39166(dec),31/52,52,1,5
1001100011111111(bin) = 39167(dec),31/52,52,1,5
1001100100000000(bin) = 39168(dec),31/52,52,1,5
1001100100000001(bin) = 39169(dec),31/52,52,1,5
1001100100000010(bin) = 39170(dec),31/52,52,1,5
1001100100000011(bin) = 39171(dec),31/52,52,1,5
1001100100000100(bin) = 39172(dec),31/52,52,1,5
1001100100000101(bin) = 39173(dec),31/52,52,1,5
1001100100000110(bin) = 39174(dec),31/52,52,1,5
1001100100000111(bin) = 39175(dec),31/52,52,1,5
1001100100001000(bin) = 39176(dec),31/52,52,1,5
1001100100001001(bin) = 39177(dec),31/52,52,1,5
1001100100001010(bin) = 39178(dec),31/52,52,1,5
1001100100001011(bin) = 39179(dec),31/52,52,1,5
1001100100001100(bin) = 39180(dec),31/52,52,1,5
1001100100001101(bin) = 39181(dec),31/52,52,1,5
1001100100001110(bin) = 39182(dec),31/52,52,1,5
1001100100001111(bin) = 39183(dec),31/52,52,1,5
1001100100010000(bin) = 39184(dec),31/52,52,1,5
1001100100010001(bin) = 39185(dec),31/52,52,1,5
1001100100010010(bin) = 39186(dec),31/52,52,1,5
1001100100010011(bin) = 39187(dec),31/52,52,1,5
1001100100010100(bin) = 39188(dec),31/52,52,1,5
1001100100010101(bin) = 39189(dec),31/52,52,1,5
1001100100010110(bin) = 39190(dec),31/52,52,1,5
1001100100010111(bin) = 39191(dec),31/52,52,1,5
1001100100011000(bin) = 39192(dec),31/52,52,1,5
1001100100011001(bin) = 39193(dec),31/52,52,1,5
1001100100011010(bin) = 39194(dec),31/52,52,1,5
1001100100011011(bin) = 39195(dec),31/52,52,1,5
1001100100011100(bin) = 39196(dec),3/5,5,1,5
1001100100011101(bin) = 39197(dec),3/5,5,1,5
1001100100011110(bin) = 39198(dec),3/5,5,1,5
1001100100011111(bin) = 39199(dec),3/5,5,1,5
1001100100100000(bin) = 39200(dec),3/5,5,1,5
1001100100100001(bin) = 39201(dec),3/5,5,1,5
1001100100100010(bin) = 39202(dec),3/5,5,1,5
1001100100100011(bin) = 39203(dec),3/5,5,1,5
1001100100100100(bin) = 39204(dec),3/5,5,1,5
1001100100100101(bin) = 39205(dec),3/5,5,1,5
1001100100100110(bin) = 39206(dec),3/5,5,1,5
1001100100100111(bin) = 39207(dec),3/5,5,1,5
1001100100101000(bin) = 39208(dec),3/5,5,1,5
1001100100101001(bin) = 39209(dec),3/5,5,1,5
1001100100101010(bin) = 39210(dec),3/5,5,1,5
1001100100101011(bin) = 39211(dec),3/5,5,1,5
1001100100101100(bin) = 39212(dec),3/5,5,1,5
1001100100101101(bin) = 39213(dec),3/5,5,1,5
1001100100101110(bin) = 39214(dec),3/5,5,1,5
1001100100101111(bin) = 39215(dec),3/5,5,1,5
1001100100110000(bin) = 39216(dec),3/5,5,1,5
1001100100110001(bin) = 39217(dec),3/5,5,1,5
1001100100110010(bin) = 39218(dec),3/5,5,1,5
1001100100110011(bin) = 39219(dec),3/5,5,1,5
1001100100110100(bin) = 39220(dec),3/5,5,1,5
1001100100110101(bin) = 39221(dec),3/5,5,1,5
1001100100110110(bin) = 39222(dec),3/5,5,1,5
1001100100110111(bin) = 39223(dec),3/5,5,1,5
1001100100111000(bin) = 39224(dec),3/5,5,1,5
1001100100111001(bin) = 39225(dec),3/5,5,1,5
1001100100111010(bin) = 39226(dec),3/5,5,1,5
1001100100111011(bin) = 39227(dec),3/5,5,1,5
1001100100111101(bin) = 39229(dec),3/5,5,1,5
1001100100111110(bin) = 39230(dec),3/5,5,1,5
1001100100111111(bin) = 39231(dec),3/5,5,1,5
1001100101000000(bin) = 39232(dec),3/5,5,1,5
1001100101000001(bin) = 39233(dec),3/5,5,1,5
1001100101000010(bin) = 39234(dec),3/5,5,1,5
1001100101000011(bin) = 39235(dec),3/5,5,1,5
1001100101000100(bin) = 39236(dec),3/5,5,1,5
1001100101000101(bin) = 39237(dec),3/5,5,1,5
